Hour,Load (kW)
826,3647.632907916751
827,3644.442224668003
828,3644.803468445751
829,3645.256193221253
830,3633.482912961503
831,3619.925531068752
832,3624.0273937485035
833,3624.3728932677514
834,3635.604016378498
835,3720.352598514751
836,3725.301086799751
837,3727.9489129857525
838,3728.6073627020032
839,3683.8232183182486
840,3678.1978535840003
841,3674.6781706699994
842,3757.752567905501
843,3764.36716312825
844,3773.761781582249
845,3797.948965209251
846,3846.1698656839985
847,3942.7035629595025
848,4096.347440395749
849,4058.645525057749
850,4091.1323335812485
851,4115.852218899251
852,4099.953372921498
853,4090.3202786295024
854,4038.7734223982497
855,4011.9080698537505
856,3979.5892845672493
857,3930.211405085002
858,3898.9875449852493
859,3951.958221467748
860,3908.4814081782506
861,3897.1134347027505
862,3884.7625694499993
863,3834.8817883459988
864,3822.059616789999
865,3830.621517841
866,3835.548518059499
867,3846.673831911999
868,3854.5689656582476
869,3880.30497616525
870,3937.7840466972493
871,4028.362138344501
872,4173.308290281249
873,4150.799145695748
874,4184.6838097989985
875,4203.108072250751
876,4189.62020063675
877,4175.05819022775
878,4118.036331556999
879,4084.007216981499
880,4056.9752900682497
881,4004.5291240557485
882,3968.6145620329985
883,4035.550288123502
884,3994.951346921999
885,3983.6439200115015
886,3973.8486090870015
887,3921.824580461249
888,3906.009271153499
889,3908.025227656751
890,3916.687361459749
891,3923.6646639715
892,3934.9525454479995
893,3958.0451733617524
894,3998.466224874751
895,4098.025384238749
896,4234.490349672249
897,4219.861963731249
898,4263.377578773751
899,4293.196911405001
900,4276.76887001775
901,4268.1193581985
902,4216.268352355997
903,4186.953602935502
904,4155.338937058999
905,4106.304929860748
906,4067.923303251252
907,4132.3600559139995
908,4093.2807929192527
909,4083.82357879325
910,4075.507526852
911,4022.746402276751
912,4007.1458932912496
913,4014.445352587002
914,4022.2426499830003
915,4029.437804960754
916,4037.4213271955
917,4063.048139192747
918,4106.542822678001
919,4206.644423334752
920,4346.137137789501
921,4336.1346499
922,4365.7585511444995
923,4385.572479259252
924,4371.077563300754
925,4361.11200769975
926,4307.738747835249
927,4278.394473018252
928,4252.858045677498
929,4202.5903123025
930,4160.2876951055
931,4225.26880764475
932,4181.916942026
933,4169.366398445998
934,4160.2554001417475
935,4111.172410823251
936,4093.5020195640022
937,4098.657390331501
938,4105.482546729001
939,4118.540524432501
940,4133.02752330025
941,4162.9793582682505
942,4215.489834346501
943,4308.922561395249
944,4440.053319498002
945,4427.913274568501
946,4463.006015784999
947,4492.438093695997
948,4479.904921801751
949,4473.030278767249
950,4422.432247265748
951,4394.021156139498
952,4361.345631594248
953,4307.451545873
954,4263.500623248748
955,4323.2355847624995
956,4281.54288162525
957,4268.262500013499
958,4261.919866618498
959,4209.312635170501
960,4196.584735437751
961,4218.862166463498
962,4158.387184722502
963,4153.310564616998
964,4160.775423598752
965,4171.808450557249
966,4180.5682466015005
967,4215.855872492251
968,4278.1797513237525
969,4213.677674710498
970,4202.439564991747
971,4207.978237766003
972,4216.3393694162505
973,4226.066157397753
974,4232.228288999001
975,4227.731762278751
976,4229.655859212247
977,4230.179667719501
978,4230.635053823001
979,4304.296795466249
980,4323.4763758650015
981,4331.541584255003
982,4321.347372686747
983,4265.54686113975
984,4257.021657013004
985,4250.187909668251
986,4225.3358304885005
987,4227.136337211753
988,4233.532420191499
989,4240.986600468247
990,4253.413456442999
991,4287.6512745397495
992,4346.294968005001
993,4270.69242935575
994,4272.242950767502
995,4273.677690612752
996,4281.77952762625
997,4283.58073809625
998,4283.663036348501
999,4282.736886504249
1000,4287.768665523747
1001,4287.616878571249
1002,4286.422736731498
1003,4362.518582424001
1004,4379.837121984499
1005,4383.717401077997
1006,4367.605493534997
1007,4323.467361619748
1008,4319.53306344575
1009,4317.947963173501
1010,4402.131007566004
1011,4405.481879093253
1012,4413.769573426756
1013,4435.1932093185005
1014,4474.734080941748
1015,4578.587844578001
1016,4707.048950823003
1017,4697.2002505232485
1018,4746.7650257444975
1019,4783.946897486996
1020,4776.718383007001
1021,4780.673986681502
1022,4733.11853367126
1023,4705.088325218995
1024,4664.194896009747
1025,4604.334028536249
1026,4552.491989753496
1027,4594.2422654375
1028,4560.885406282002
1029,4552.495092957
1030,4546.912797039003
1031,4493.133814466
1032,4480.990606154996
1033,4488.613607462001
1034,4498.077904050501
1035,4505.323398496752
1036,4516.818195967497
1037,4540.659050958253
1038,4588.429966553001
1039,4678.369693507997
1040,4810.601653295501
1041,4801.915395451003
1042,4841.314681162746
1043,4867.739021147253
1044,4852.861193296754
1045,4842.5401181715
1046,4785.814028261004
1047,4749.358954473003
1048,4720.737120418748
1049,4666.272248891754
1050,4629.361587673999
1051,4684.963006195251
1052,4659.372072960506
1053,4645.942966080004
1054,4635.244515760746
1055,4586.248290186006
1056,4574.326971993999
1057,4575.348210328752
1058,4582.38489228175
1059,4592.406091865001
1060,4602.030712005745
1061,4625.952026311001
1062,4672.500133174003
1063,4765.2922476112435
1064,4883.425528415004
1065,4879.761686581751
1066,4917.146314021751
1067,4940.019771536996
1068,4922.455502082002
1069,4915.5954484735
1070,4863.823881652755
1071,4835.185336204253
1072,4803.720929386254
1073,4756.499504586755
1074,4715.258426060999
1075,4764.3430949894955
1076,4738.197440225254
1077,4729.086076260998
1078,4715.175060221501
1079,4676.806041507005
1080,4659.361810471504
1081,4659.982236219497
1082,4664.0788977255
1083,4669.399291526502
1084,4677.263961718245
1085,4695.569656429248
1086,4737.904103122501
1087,4836.0663844374985
1088,4946.301168959254
1089,4943.9621466744975
1090,4992.723086991496
1091,5028.4276969815
1092,5035.485871966753
1093,5042.959362531246
1094,4999.847539695749
1095,4967.968553705003
1096,4936.5153543355
1097,4878.364765313996
1098,4827.9714422544985
1099,4870.483653726998
1100,4836.855031592499
1101,4818.076902820003
1102,4809.713558519
1103,4770.738101369248
1104,4752.974209001748
1105,4756.099458743
1106,4760.855725391993
1107,4766.24885790525
1108,4776.649731577499
1109,4798.118077000501
1110,4834.910985342252
1111,4934.456124937003
1112,5039.551853416502
1113,5064.765250724997
1114,5135.2867995142515
1115,5185.150074364251
1116,5181.964698857996
1117,5184.7163910197505
1118,5138.88016244875
1119,5101.855901160253
1120,5054.017402223503
1121,4985.214282347256
1122,4934.761240312004
1123,4976.571036939005
1124,4939.934805706995
1125,4926.623318456256
1126,4917.129307323501
1127,4869.936794842745
1128,4856.618678881255
1129,4867.998040337991
1130,4811.413141089498
1131,4809.152545409748
1132,4815.396078900743
